# BEAST v1.7.5
# Generated Thu Sep 05 11:02:06 BST 2013 [seed=1]
state	location.rates1	location.rates2	location.rates3	location.rates4	location.rates5	location.rates6	location.rates7	location.rates8	location.rates9	location.rates10	location.rates11	location.rates12	location.rates13	location.rates14	location.rates15	location.rates16	location.rates17	location.rates18	location.rates19	location.rates20	location.rates21	location.indicators1	location.indicators2	location.indicators3	location.indicators4	location.indicators5	location.indicators6	location.indicators7	location.indicators8	location.indicators9	location.indicators10	location.indicators11	location.indicators12	location.indicators13	location.indicators14	location.indicators15	location.indicators16	location.indicators17	location.indicators18	location.indicators19	location.indicators20	location.indicators21	location.nonZeroRates
450000	0.9980413390442803	4.081923095808599	1.4090397608516922	0.20382523308287975	1.0536842549824164	0.14013159076441342	1.209009951440128	2.8332148460217086	0.5533600127589164	1.1553065941065228	0.6374992444502843	0.08003594714093884	0.06443631487541253	0.3006086251212313	0.9510227903601662	0.3508404572827517	2.154255946430818	0.5829783607853699	2.3694725852144596	0.6377973752841712	0.4584844764255784	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0
475000	0.5192380181397669	3.420620982383796	0.2852180537387855	0.20643864780076152	0.17374950358114616	0.6615272935508264	2.0573283969722613	0.137854190050879	0.8881259348737801	1.4452903673809856	1.158127438493251	0.09188186258946715	0.12939644624129495	0.20248974660771568	1.3524425949742862	0.5222819120053132	0.37227678090574956	4.070480543797576	1.2302346325517177	1.592114080201962	0.33887912079340643	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0
500000	0.13193655417174824	0.4225001158477806	0.2340698025386774	0.15604263597256382	0.8125991855010551	0.436478302158143	0.211848747346124	0.14262366377958394	5.273246500516837	0.38022127879267575	0.8807608179132305	0.2691752868280688	1.657306787591014	0.0617793295363979	0.23371484036645437	3.413572167759143	0.15282061605886132	0.148126839570458	5.749154484261234	0.8156579194522623	0.30624362373376784	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0
525000	0.36426546940567506	0.6642467459035759	0.5525945097118782	0.09616238643527307	0.42284139649393176	0.6641135131493232	0.41690334692624725	0.13116030533658515	0.6879491549687893	1.1689232600619788	1.0697205387814996	0.623141992961943	2.042575663428632	0.20911074966620188	0.03381728886228011	3.2079380669621225	0.14247662088310645	0.2316115871110573	3.273154109831789	1.9421133378700992	0.5720187223873092	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0
550000	0.7327207431985551	0.8565707215619629	1.4029246122405468	0.17708165140156795	0.3831327409909265	0.42407310420726396	0.3001212568429605	0.04439982006132934	2.065740065750775	0.15430239391415318	0.7224502358491472	2.4943745985069206	1.7255532716547866	0.06539196283696902	1.0642857690671985	1.5735129236600158	1.8361184744299501	1.32011211187377	1.1042858293851847	0.5524416471813385	0.39751512427394153	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	9.0
575000	0.4468652044694587	0.5581431066333394	1.4763890116313447	0.8427964804418752	0.6642621968301988	2.263783375834457	0.6497620498834316	0.0862777419618729	2.207068784740904	0.40962012860435126	0.6238884831575446	0.36112327567938607	0.6152320221273934	0.05117063744364736	2.0053707263067775	0.9420482915971665	0.4257634958709504	0.6029363846189632	2.740329838135102	0.9102978295143878	0.7390402358588227	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0
600000	2.561216111560634	2.0043592974565243	0.9077584547088289	0.7669748537454911	0.17439124574385517	2.1625108760349843	0.37966985291993915	0.721954602180858	0.8868241436724957	0.23465196282536865	0.4818829574596602	0.5882038195473647	2.6017541705685208	0.2288305484848421	2.7506291666806	2.955889082456686	0.12292416004153198	1.400559987906314	3.47419253874985	1.0416277680224117	1.1068435718710077	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0
625000	1.922787187319195	0.44674357395329095	1.8667941983819358	0.9597916870794765	0.5518983207263665	0.4568763784597694	0.8000742343485318	2.488801404444149	0.34583386813256045	0.6145612036858689	0.33540112043035025	0.24331840521446102	2.87419673677979	0.0376848287974392	0.8144361622592966	1.055285267260358	0.1760065844943906	2.617783337145328	0.35271290852050907	0.338248769735965	3.4104561035657466	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
650000	2.047689902395799	0.7950081800221966	0.5394689695977818	1.7604076217464864	1.2392922578024197	0.7582387661313886	0.23589678472592424	2.0966471277418655	0.840150008697747	0.2655153593755424	0.3845000058561417	0.17670164906930383	2.117498188341796	0.04895369753042874	0.1065156043417931	3.1254250951543017	0.11886467822252636	0.4285869251999287	1.084616892028781	0.29632801695429584	0.8600199870255655	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	7.0
675000	1.334781343643652	0.2253445272849699	0.11546592364139002	0.2010785704561644	0.6732898823635879	0.4771755598295428	1.6825527204369963	0.07173559444476367	0.9855045712737466	0.39625140511202056	0.32350946456220303	0.3930940681182014	0.8808687312505751	0.0879742071294579	0.024921905927810004	2.762632981837141	0.06808448352255163	0.34295258900878584	4.873993779327417	0.08125569694771195	0.7254396376791553	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
